year,age,sex,notifications
2010,25-29,Other/unknown,3
2010,30-34,Female,593
2010,30-34,Male,365
2010,30-34,Other/unknown,5
2010,35-39,Female,520
2010,35-39,Male,383
2010,35-39,Other/unknown,4
2010,40-44,Female,471
2010,40-44,Male,375
2010,40-44,Other/unknown,3
2010,45-49,Female,420
2010,45-49,Male,352
2010,45-49,Other/unknown,3
2010,50-54,Female,428
2010,50-54,Male,320
2010,50-54,Other/unknown,1
2010,55-59,Female,319
2010,55-59,Male,271
2010,55-59,Other/unknown,4
2010,60-64,Female,216
2010,60-64,Male,215
2010,60-64,Other/unknown,1
2010,65-69,Female,151
2010,65-69,Male,144
2010,65-69,Other/unknown,1
2010,70-74,Female,116
2010,70-74,Male,121
2010,70-74,Other/unknown,1
2010,75-79,Female,80
2010,75-79,Male,95
2010,75-79,Other/unknown,2
2010,80-84,Female,75
2010,80-84,Male,80
2010,85+,Female,59
2010,85+,Male,38
2010,85+,Other/unknown,3
2010,NA,Female,11
2010,NA,Male,9
2010,NA,Other/unknown,2
2011,00-04,Female,1712
2011,00-04,Male,2039
2011,00-04,Other/unknown,5
2011,05-09,Female,1403
2011,05-09,Male,1742
2011,05-09,Other/unknown,2
2011,10-14,Female,972
2011,10-14,Male,1069
2011,10-14,Other/unknown,3
2011,15-19,Female,894
2011,15-19,Male,830
2011,15-19,Other/unknown,1
2011,20-24,Female,1012
2011,20-24,Male,746
2011,20-24,Other/unknown,1
2011,25-29,Female,1244
2011,25-29,Male,840
2011,25-29,Other/unknown,5
2011,30-34,Female,1179
2011,30-34,Male,776
2011,30-34,Other/unknown,2
2011,35-39,Female,1085
2011,35-39,Male,787
2011,40-44,Female,923
2011,40-44,Male,680
2011,40-44,Other/unknown,1
2011,45-49,Female,720
2011,45-49,Male,611
2011,45-49,Other/unknown,1
2011,50-54,Female,710
2011,50-54,Male,547
2011,50-54,Other/unknown,2
2011,55-59,Female,571
2011,55-59,Male,480
2011,55-59,Other/unknown,1
2011,60-64,Female,567
2011,60-64,Male,423
2011,60-64,Other/unknown,1
2011,65-69,Female,367
2011,65-69,Male,329
2011,70-74,Female,287
2011,70-74,Male,338
2011,75-79,Female,252
2011,75-79,Male,226
2011,75-79,Other/unknown,1
2011,80-84,Female,230
2011,80-84,Male,198
2011,80-84,Other/unknown,3
2011,85+,Female,231
2011,85+,Male,158
2011,85+,Other/unknown,6
2011,NA,Female,1
2011,NA,Male,1
2012,00-04,Female,3143
2012,00-04,Male,3553
2012,00-04,Other/unknown,1
2012,05-09,Female,2329
2012,05-09,Male,2779
2012,05-09,Other/unknown,4
2012,10-14,Female,1203
2012,10-14,Male,1423
2012,10-14,Other/unknown,1
2012,15-19,Female,1149
2012,15-19,Male,1150
2012,15-19,Other/unknown,2
2012,20-24,Female,1291
2012,20-24,Male,848
2012,25-29,Female,1612
2012,25-29,Male,943
2012,25-29,Other/unknown,4
2012,30-34,Female,1808
2012,30-34,Male,1040
2012,30-34,Other/unknown,2
2012,35-39,Female,1789
2012,35-39,Male,1202
2012,35-39,Other/unknown,3
2012,40-44,Female,1526
2012,40-44,Male,1109
2012,40-44,Other/unknown,3
2012,45-49,Female,1084
2012,45-49,Male,977
2012,50-54,Female,1017
2012,50-54,Male,846
2012,50-54,Other/unknown,1
2012,55-59,Female,974
2012,55-59,Male,801
2012,55-59,Other/unknown,1
2012,60-64,Female,1022
2012,60-64,Male,766
2012,60-64,Other/unknown,2
2012,65-69,Female,833
2012,65-69,Male,711
2012,65-69,Other/unknown,1
2012,70-74,Female,709
2012,70-74,Male,637
2012,75-79,Female,687
2012,75-79,Male,698
2012,80-84,Female,665
2012,80-84,Male,536
2012,85+,Female,1030
2012,85+,Male,585
2012,NA,Female,3
